
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   4439 root      20   0 2674204 175464  25312 S  88.5   4.4   0:03.72 java
   2999 root      20   0 2738804 191300  15856 S   6.5   4.7   0:12.75 java
   2853 root      20   0 2784436 334484  16016 S   1.0   8.3   0:11.37 java
   3456 root      20   0 2917044 318912  15732 S   1.0   7.9   0:18.34 java
   3602 root      20   0 2786388 236812  15660 S   1.0   5.9   0:10.55 java
      1 root      20   0   94400   3104    964 S   0.0   0.1   0:00.15 systemd
     26 root      20   0   93912   2788   1816 S   0.0   0.1   0:00.33 systemd-journal
     28 root      20   0   88500   2060    620 S   0.0   0.1   0:00.58 systemd-udevd
     43 dbus      20   0   53976    416      0 S   0.0   0.0   0:00.04 dbus-daemon
     44 root      20   0   78528   1568    624 S   0.0   0.0   0:00.01 sshd
     71 root      20   0   12148   2388   1780 S   0.0   0.1   0:00.12 bash
   2635 root      20   0   12148   2244   1652 S   0.0   0.1   0:00.06 bash
   3171 root      20   0 2700648 138804  15648 S   0.0   3.4   0:05.57 java
   4437 root      20   0   11884   2768   2540 S   0.0   0.1   0:00.00 top_record.sh
   4438 root      20   0   48920   3656   3124 R   0.0   0.1   0:00.00 top

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   4439 root      20   0 2674204 231976  25312 S  35.5   5.8   0:04.77 java
   2999 root      20   0 2738804 191300  15856 S  10.0   4.7   0:13.16 java
   3456 root      20   0 2917044 319656  15732 S   1.0   7.9   0:18.37 java
   2853 root      20   0 2784436 334524  16008 S   0.5   8.3   0:11.39 java
   3602 root      20   0 2786388 236812  15660 S   0.5   5.9   0:10.56 java
      1 root      20   0   94400   3104    964 S   0.0   0.1   0:00.15 systemd
     26 root      20   0   93912   2788   1816 S   0.0   0.1   0:00.33 systemd-journal
     28 root      20   0   88500   2052    612 S   0.0   0.1   0:00.58 systemd-udevd
     43 dbus      20   0   53976    416      0 S   0.0   0.0   0:00.04 dbus-daemon
     44 root      20   0   78528   1568    624 S   0.0   0.0   0:00.01 sshd
     71 root      20   0   12148   2388   1780 S   0.0   0.1   0:00.12 bash
   2635 root      20   0   12148   2244   1652 S   0.0   0.1   0:00.06 bash
   3171 root      20   0 2700648 138804  15648 S   0.0   3.4   0:05.57 java
   4437 root      20   0   11884   2768   2540 S   0.0   0.1   0:00.00 top_record.sh
   4438 root      20   0   48920   3656   3124 R   0.0   0.1   0:00.00 top

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   4439 root      20   0 2674204 346052  25336 S  11.5   8.6   0:08.47 java
   2999 root      20   0 2738804 191344  15804 S   9.5   4.7   0:15.50 java
   3456 root      20   0 2917044 319604  15680 S   1.0   7.9   0:18.63 java
   3602 root      20   0 2787116 237804  15640 S   1.0   5.9   0:11.15 java
   2853 root      20   0 2786484 334484  15900 S   0.5   8.3   0:11.52 java
   3171 root      20   0 2700648 138776  15620 S   0.5   3.4   0:05.61 java
      1 root      20   0   94400   2140      0 S   0.0   0.1   0:00.15 systemd
     26 root      20   0   93912   2368   1396 S   0.0   0.1   0:00.33 systemd-journal
     28 root      20   0   88500   2756   1316 S   0.0   0.1   0:00.58 systemd-udevd
     43 dbus      20   0   53976    416      0 S   0.0   0.0   0:00.04 dbus-daemon
     44 root      20   0   78528   1552    608 S   0.0   0.0   0:00.01 sshd
     71 root      20   0   12148   2388   1780 S   0.0   0.1   0:00.12 bash
   2635 root      20   0   12148   2244   1652 S   0.0   0.1   0:00.06 bash
   4437 root      20   0   11884   2768   2540 S   0.0   0.1   0:00.00 top_record.sh
   4438 root      20   0   48920   3656   3124 R   0.0   0.1   0:00.02 top
